jotta,so that
silti ,still
tarkenee,focus
tunnelma,atmosphere
sillä,for/because
asti,until
kohti,towards/in the direction of
päin,towards
tarjeta,stand the cold
vaieta,keep silent
paeta,escape
aueta,open
tyhjetä,deflate
suureta,enlarge
pimetä,darken
pidetä,lengthen
lyhetä,shorten
kuumeta,get hot
viiletä,get cool
nuoreta,become young
jäädä,stay
jättää,leave
pudottaa,drop
herätä,wake up
herättää,wake
kaatua,fall down
kaataa,cut down
palata,return
ajaa,drive
kävellä,walk
lähteä,go/come
sammal,moss
jäkälä,lichen
pensas,shrub
heinä,hay
ruoho,grass
lehmus,lime
tammi,oak
vaahtera,maple
mänty,pine
pihlaja,rowan tree
koivu,birch
kuusi,six/spruce
mehiläinen,bee
hämähäkki,spider
perhonen,butterfly
muurahainen,ant
hyttynen,mosquito
kärpänen,fly
hyönteinen,insect
joutsen,swan
pöllö,owl
sorsa,wild duck
pääskynen,swallow
pulu,pigeon
lokki,seagull
harakka,magpie
varis,crow
samakko,frog
käärme,snake
hiiri,mouse
siili,hedgehog
orava,squirrel
jänis,rabbit
susi,wolf
kettu,fox
hirvi,moose
silakka,baltic herring
ahven,perch
hauki,pike
lohi,salmon
ranta,beach
ranniko,coast
lahti,bay
joki,stream 
niemi,peninsula
salmi,strait
vuori,mountain
mäki,hill
tunturi,mountain in lapland
luonto,nature
laudeliina,board cloth/table cloth
kiulu,pail
kauha,scoop
löyly,steam
aika,quite
välillä,between
onneksi,fortunately
sillä aikaa,meanwhile
tosin,indeed
päin,towards
viimeinen,last
grillata,barbecue
kotiinlähtö,going home
savustaa,smoke
parkkipaikka,parking
tikka,dart
heittää,throw
riippumatto,hammock/吊床
rantakallio,cliff
kaadu,fall down
varjostaa,overshadow
kaataa,cut down
uskaltaa,dare
ainoa,only
hyttynen,mosquito
silti,still
tarjeta,stand the cold
viiletä,cool
vilvoittelemassa,cooling off
naureskella,laugh
sytyttää ,ignite
laituri,platform
vihta,bath whisk
polttopuut,firewood
hakata ,hack
ikävä,disappointing
tankata,refuel
tunnelma,atmosphere
ei haittaa,does not matter
vihdoin ,finally
vedä,pull
varas,thief
saapas,boot
porras,stair
kangas,cloth
väite,claim
tuote,product
tunne,feeling
tiede,science
sade,rain
liikenne,transport
liike,business/movement
kastike,saurce
tuuletin,ventilator
sivellin,brush
leivänpaahdin,toaster
soitin,instrument
täytyy,must
tulos,outcome
nilkka,ankle
varvas,toe
takapuoli,ass
selkä,back
ranne,wrist
kyynärpää,elbow
olkapää,shoulder
niska,neck
polvi,knee
rinta,breast
kaula,neck
huuli,lip
leuka,jaw
poski,cheek
ruumiinosat,body parts
pikaista paranemista,get well soon
päivystys,duty
bakteeri,bacteria
kätilö,midwife
neuvola,maternity clinic
haava,wound
keuhkot,lungs
selvä,clear
sairaustodistus,medical certificate
levätä,rest
potilas,patient
varata,reserve
lopulta,finally
vedenkeitin,kettle
keittää,boil
varmasti,certainly
kurkkukipu,sore throat
sairas,sick
särkylääkettä,pain killer
virustauti,viral disease
tulehdus,inflammation
vilustua,catch a cold
vuotaa,leak
oire,symptom
taitaa,think
kurkistaa,take a peek
ahdas,narrow
jono,queue
ainoa,only
tulikuuma,burning hot
kokeilla,test
laahustaa,drag
olo,feeling
tavallinen,normal
terveiset,regards
matkailu,tourism
huudahdukset,exclamation
toinen,another
kuuluisa,famous
vesiputous,waterfall
retki,trip
annos,dose
kylä,village
onneksi,fortunately
jäljellä,left
tapaa,meet
ihan totta,really
opas,guide
kaukana,far away
sanopa muuta,you can say that again
inhottavaa ,disgusting
vasta,not until
turha,useless
itse asiassa,actually
nahkatakin,lether jacket
tuliainen,souvenir
hyvä ajatus,good idea
mielelläni,with pleasure
reissu,journey
tietysti,of course
myöhästyä,be late
lento,flight
tapahtua,happen
hajota,break down
kapteeni,captain
yrittää,try
korjata,repair
luovuttaa,give up
järjestää,arrange
kuljetus,transportation
kuitenkin,however
melkein,almost
pelätä,be afraid
päästä,reach
yöpyä,sleep
ylimääräinen,extra
ostos,purchase
hellehattu,sun hat
silkkipusero,silk blouse
jutella,chat
lentoasema,airport
matkatavara,baggage
matkalaukku,suitcase
viisumi,visa
matkavakuutus,travel insurance
tarkastus,inspection
tulli,customs
majoitus,accommodation
varaus,reservation
nähtävyys,sight
kiertoajelu,sightseeing tour
eikä,neither
varmaan,for sure
villapusero,sweater
housut,trousers
farkut,jeans
hame,skirt
mekko,dress
puku,suit
sukat,socks
saappaat,boots
lenkkarit,sneakers
alusvaatteet,underwear
rintaliivit,bra
alushousut,underpants
kalsarit,long johns
huivi,scarf
pipo,woolly hat
vyö,belt
sateenvarjo,umbrella
raidallinen,striped
ruudullinen,checkered
lenkkitossut,sneakers
paluu,return
meno,going
vuokrata,rent
eilen,yesterday
säilön,preserve
aloin,I started
huutaa,yell
kieltää,prohibit
kääntää,turn/translate
löytää,find
piirtää,draw
pyytää,request
rakentaa,build
siirtää,transfer
tuntea,feel/know
työntää,push
vastaus,answer
kerros,floor
vihannes,vegetable
elämys,experience
hallitus,government
kokemus,knowledge
rukous,prayer
sormus,ring
yllätys,surprise
yritys,company
kierros,cycle
käännös,translation
näytös,show
rikos,criminal/crime
veistos,sculpture
eines,one
ilves,lynx
neljännes,quarter
veljes,brother
kävin,i went
työntää,push
esitys,presentation
jäädä,stay
Toivottavasti,Hopefully
löytää,find
päästä,reach
huudahdukset, exclamations
vesiputoukset, waterfalls
retki, trip
jäljellä, left
kuuluisa,famous
annos, dose
opas, guide
inhottava, disgusting
turha, useless
yöpyä, night stay
itse, asiassa
ylimääräinen, extra
tuliainen, souvenir
reissu, journey
vasta, only
ihan totta, really
ehtiä, reach
hajota, decompose
sanopa muuta, you can say that again
luovuttaa, abandon/surrender
järjestää, arrange/organize
kuljetus, transport
melkein, almost/nearly
pelätä, to be afraid
ostos, purchase
niin tietysti, of course
päästä, reach/get
joten, consequently
ihan, quite
mielelläni, with pleasure
matkatavara, baggage
matkalaukku, suitcase
käsimatkatavara, hand luggage
matkavakuutus, travel insurance
turvatarkastus, security check
tulli, customs
majoitus, accommodation
nähtävyys, attraction/sight/showplace
kiertoajelu, tour/sightseeing
särkeä, break/ache/vandalize
ahdas, cramped/narrow
kurkistaa, peek
taitaa, know/feel
särky, ache
vilustunut, caught a code
jatkua, continue
haava, wound/ulcer
pikaista paranemista, get well soon
ruumiinosat, body parts
leuka, jaw
käsivarsi, arm
ranne, wrist
rinta, breast/chest
jalka, leg/foot
niska, neck
nilkka, ankle
varvas, toe
pitää, keep/hold/need/like
käytös, behavior/conduct/manners
noudatta, comply with
kuuro, shower/flurry/hail
käytös, behavior/conduct/manners
noudatta, comply with
kuuro, shower/flurry/hail
soitin, instrument
leivänpaahdin, toaster
sivellin, brush
tuuletin, fan/ventilator
väite, claim
kangas, cloth
saapas, boot
tehdas, factory
varas, thief
lähettää, send
asti, until
vihdoin, finally
saapu, arrive
ei haittaa, does not matter
sillä, for/that
tunnelma, atmosphere
kerran, once
sillä aikaa, meanwhile
perille, there/to the destination
ikävä, tedious/nasty/unpleasant
yllätys, surpise
ei mistään, from nowhere
vara, spare
hakkaa, hack/beat/chop
vihdan, bath whisk
myöhä, late
sytyttää tulen, start a fire
naureskelee, laughs
naureskella, laugh
saunoa, take a sauna
vilvoittele, cool off
viilenee, getting colder
tarkenee, stand the cold
ainoa, only
uskaltaa, dare
portaat, stairs
kaata, pour
varjosta, overshadow
kaadu, fall down
päälle, on to/over
jotta, so that
rantakallio, cliff
sanaristikko, crossword puzzle
heittää, throw
tikkaa, darts
haitata, hinder/hamper
pysähtyä, stop
viereinen, next/adjacent to
lämmetä, warm
syttyä, ignite
viiletä, cool off
tarjeta, stand the cold
porras, step/stair
savustaa, smoke
tosin, indeed
välillä, between
löyly, steam
kauha, scoop
kiuas, heater
kiulu, pail
laude, board
tunturi, mountain in lapland
mäki, hill
saari, island
ranta, beach
rannikko, coastline
kallio, rock
salmi, strait
vuori, mountain
joki, stream
hauki, pike
ahven, perch
silakka, baltic herring
hirvi, moose
siili,hedgehog
hiiri, mouse
etana, snail
mato, worm
varis, crow
harakka, magpie
lokki, seagull
pulu, pigeon
pääskynen, swallow
sorsa,duck
pöllö, owl
poro, reindeer
joutsen, swan
pihlaja, rowan
mänty, pine
vaahtera, maple
tammi, oak
lehmus, lime
heinä, hay
pensas, shrub
bensa, gasoline
jäkälä, lichen
sammal, moss
lähteä, go/start/depart/come
kävellä, walk/navigate
käydä, visit/go/come
tulla, come/become/reach
palata, return/turn back
sytyttää/syttyä,ignite
kaataa/kaatua, cut down
herättää/herätä, wake up
avata/aueta, open
sulkea/sulkeutua, close
sammuttaa/sammua, turn off
pudottaa/pudota, drop
jatkaa/jatkua, continue
jättää/jäädä, leave/left
vanheta, grow old
nuoreta, become young
lämmetä, warm up
viiletä, cool off
kuumeta, get hot
lyhetä, shorten
pidetä, lengthen
pimetä, darken
suureta, enlarge
pienetä, decrease
tyhjetä, deflate
tyhjä, empty/idle/flat
paeta,escape/run
vaieta, keep silent
tarjeta, stand the cold
päälle, side
päin, towards
kohti, towards
jälkeen, after
ennen, before
asti,until
sillä, for
vaikka, although
jotta, so/that
salibandyä, a ball game played indoors with sticks
jumppa, gymnastics
jumpata, do gymnastics
lenkki, outdoor activities/jogging/link
juoksua, running
keilausta, bowling
hiihtoa, skiing
laskettelua, downhill skiing
luistelua, skating
rullaluistelu, roller skating 
ratsastusta, horseback riding
telua, play
joogaa, yoga
purjehdusta, sailing
sauva, rod
sauvakävelyä, pole walking
huilua, flute
viulua, violin
bassoa, bass
rumpuja, drums
kuoro, choir/chorus
maanantaisin, every monday
kerran, once
sauva, rod/wand
huilua, flute
trumpettia, trumpet
bassoa, bass
rumpuja, drums
kuoro, choir
sulkapallo, badminton
saunominen, taking a sauna bath
pyöräileminen, cycling
keilaaminen, bowling
inhota, hate/disgust
vihata, hate
tylsä, boring/dull
vaikuttaa, seems/influence/affect/work/impact
maistua, taste
tuoksua, smell
kiinnostunut, interested
varkaus, theft
varas, thief
murtovaras, burglar/housebreaker
murtautuja, burglar
murto, burglary/break-in
varasta, steal
eräs, one/someone/a certain/some
jäädä, remain/stay/left/end up as/get off/depart
yhtäkkiä, suddenly
keskeyttää, interrupt
outoa, strange
ihme/ihmetys, wonder
roikkua, hang/dangle
ripustaa, hang/suspend
vino, oblique/skew
hirveä, terrible
sotku, mess
komero, closet/cupboard
tavaraa,stuff/goods/things/article
sikin sokin, /all over the place
kaikenlaista, all kinds of
uskomantonta, unbelivable
usko, belief/faith/trust
murtautua, break into
tänne, here
ikivanhaa, ancient
ilmoitus, ad/notification/declaration/announcement
ilmoittaa, inform/advertise/declare/notify/report/announce
tarkasti, closely/precisely/finely/subtly
tekijä, maker/doer/perpetrator
harvoin, rarely
kiinni, closed/secure/locked/caught
neuvoa, advise/counsel/recommend
melko, quite/pretty/reasonably/enough
korvashakemus, compensation application
korvaus, compensation/reimbursement/replacement
ennen kuin, before/prior to
omavastuu, deductible
vastuu, responsibility/liability
keskeyttää, interrupt
kellari, cellar
outo, strange/weird
sulkea, close/exclude
sisälle, inside/indoors
molemmat, both
